City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Desription,Date
0,Charagua,-19.8,-63.2167,89.17,48,58,8.23,broken clouds,2022-02-02 22:30:46
1,Ushuaia,-54.8,-68.3,44.26,57,75,25.32,broken clouds,2022-02-02 22:30:46
2,Mataura,-46.1927,168.8643,58.48,97,100,3.96,moderate rain,2022-02-02 22:28:57
3,Winslow,35.0242,-110.6974,41.18,23,100,5.01,overcast clouds,2022-02-02 22:30:47
4,Lebu,-37.6167,-73.65,63.72,79,45,11.01,scattered clouds,2022-02-02 22:29:34
5,Tuktoyaktuk,69.4541,-133.0374,-22.0,76,75,13.8,light snow,2022-02-02 22:30:47
6,Nabire,-3.3667,135.4833,75.58,89,100,2.73,overcast clouds,2022-02-02 22:25:54
7,Rikitea,-23.1203,-134.9692,78.66,72,100,7.27,overcast clouds,2022-02-02 22:30:48
8,Yellowknife,62.456,-114.3525,-20.7,68,20,3.44,few clouds,2022-02-02 22:25:57
9,Arkhangelsk,64.5401,40.5433,12.31,85,100,2.24,light shower snow,2022-02-02 22:30:48
10,Busselton,-33.65,115.3333,67.05,44,100,14.58,overcast clouds,2022-02-02 22:30:48
11,Castro,-24.7911,-50.0119,65.95,92,40,5.7,light rain,2022-02-02 22:30:08
12,Umm Kaddadah,13.6017,26.6876,69.3,20,12,6.33,few clouds,2022-02-02 22:26:24
13,Saint-Philippe,-21.3585,55.7679,80.19,95,100,36.08,heavy intensity rain,2022-02-02 22:30:49
14,Esperance,-33.8667,121.9,58.84,72,2,12.15,clear sky,2022-02-02 22:25:58
15,Ilulissat,69.2167,-51.1,-0.38,60,20,25.32,few clouds,2022-02-02 22:30:49
16,Georgetown,5.4112,100.3354,80.53,88,20,3.44,few clouds,2022-02-02 22:28:14
17,Hobart,-42.8794,147.3294,62.02,57,75,1.01,broken clouds,2022-02-02 22:28:51
18,Santa Ines,-3.6667,-45.38,75.78,89,98,5.19,overcast clouds,2022-02-02 22:30:50
19,Vostok,46.4856,135.8833,-6.92,99,100,3.58,overcast clouds,2022-02-02 22:26:35
20,Brae,60.3964,-1.353,46.31,91,100,10.71,overcast clouds,2022-02-02 22:30:50
21,Mandalgovi,45.7625,106.2708,-0.31,79,2,10.0,clear sky,2022-02-02 22:27:49
22,Necochea,-38.5473,-58.7368,84.02,49,100,11.23,light rain,2022-02-02 22:28:03
23,Punta Arenas,-53.15,-70.9167,48.31,71,75,8.05,broken clouds,2022-02-02 22:30:51
24,Bluff,-46.6,168.3333,58.8,64,100,17.2,overcast clouds,2022-02-02 22:30:51
25,Port Alfred,-33.5906,26.891,73.44,96,100,7.96,heavy intensity rain,2022-02-02 22:30:12
26,Kiama,-34.6833,150.8667,69.39,69,91,5.01,overcast clouds,2022-02-02 22:30:51
27,Plettenberg Bay,-34.0527,23.3716,69.62,90,100,4.92,overcast clouds,2022-02-02 22:30:52
